Year,Tourists,France,Spain,Italy,Poland,Croatia,Hungary,United Kingdom,Other (top 6),Denmark,Germany,Czech Republic,Russian Federation,Greece,Ukraine,Slovak Republic,Netherlands,Portugal,Andorra,Switzerland,Bulgaria,Ireland,Romania,Belgium,Sweden,Belarus,Latvia,Estonia,Lithuania,Norway,Finland,Albania,San Marino,Slovenia,Malta,Luxembourg,Iceland,Serbia,Bosnia and Herzegovina,North Macedonia,Monaco,Moldova,Liechtenstein
2000,473763600,,74580000,62702000,84515000,37226000,31141000,25209000,158390600,,18983000,,21169000,13567000,11691000,,10003000,12097000,10991000,7821000,4922000,6646000,5264000,6457000,3828000,2030000,1882000,3310000,4092000,3104000,2714000,317000,3071000,1090000,1387000,852000,328000,,171000,224000,300000,18000,61599.99847
2001,450067500,,75564000,60960000,61431000,40129000,30679000,22835000,158469500,,17861000,,21595000,14678000,11877000,,9500000,12167000,11351000,7455000,5104000,6353000,4938000,6452000,4108000,1852000,2061000,3230000,4195000,3073000,2826000,354000,3036000,1219000,1439000,836000,329000,,139000,99000,270000,16000,56500
2002,453620700,,79313000,63561000,50735000,41737000,31739000,24180000,162355700,,17969000,,23309000,14918000,12793000,,9595000,11644000,11507000,6868000,5563000,6476000,4794000,6720000,4276000,1907000,2297000,3253000,3999000,3111000,2875000,470000,3102000,1302000,1483000,885000,315000,312000,160000,123000,263000,18000,48700.00076
2003,502778000,,82326000,63026000,52130000,42857000,31412000,24715000,206312000,21119000,18399000,20108000,22521000,14785000,15161000,,9181000,11707000,11601000,6530000,6241000,6764000,5595000,6690000,4268000,1729000,2524000,3378000,3635000,3269000,2601000,557000,2882000,1373000,1512000,867000,348000,339000,165000,158000,235000,21000,49000
2004,708304500,190282000,85981000,58480000,61918000,44974000,33934000,27755000,204980500,22054000,20137000,23808000,22064000,14268000,18583000,,9646000,10639000,11668000,,6982000,6953000,6600000,6710000,4676000,1816000,3127000,,,3628000,2840000,645000,2812000,1499000,1428000,878000,405000,392000,190000,165000,250000,69000,48500
2005,740919800,185829000,92563000,59230000,64606000,45762000,36173000,29970000,226786800,26927000,21500000,24747000,22201000,15938000,20489000,,10012000,10612000,11049000,7229000,7282000,7333000,5839000,6747000,4883000,4738000,3791000,,,3824000,3140000,748000,2107000,1555000,1484000,913000,429000,453000,217000,197000,286000,67000,49799.99924
2006,777562900,193882000,96152000,66353000,65115000,47733000,38318000,32713000,237296900,26936000,23569000,25102000,22486000,17284000,21714000,,10739000,11282000,10737000,7863000,7499000,8001000,6037000,6995000,4729000,5276000,4649000,,,4070000,3375000,937000,2136000,1617000,1521000,908000,477000,469000,256000,202000,313000,63000,54900.00153
2007,781983800,193319000,98907000,70271000,66208000,52271000,39379000,32778000,228850800,27138000,24421000,22625000,22909000,,26162000,,11008000,6788000,10743000,8448000,7726000,8332000,7722000,7045000,5224000,5283000,5209000,,4251000,4377000,3519000,1127000,2164000,1751000,1723000,914000,539000,696000,306000,230000,328000,70000,72800.00305
2008,781216900,193571000,97670000,70719000,59935000,51336000,39554000,31888000,236543900,26870000,24884000,21850000,23676000,,28827000,,10104000,6962000,10194000,8608000,8533000,8026000,8862000,7165000,4555000,5262000,5496000,3828000,4459000,4347000,3583000,1420000,2112000,1958000,1832000,877000,561000,646000,322000,255000,324000,73000,72900.00153
2009,752197500,192369000,91899000,71692000,53840000,47573000,40624000,31072000,223128500,26571000,24220000,23285000,21339000,,24033000,,9921000,6439000,9112000,8294000,7873000,7189000,7575000,6815000,4899000,4872000,4727000,3834000,4001000,4346000,3423000,1856000,2056000,1824000,1608000,847000,563000,645000,311000,259000,265000,60000,66500
2010,765510300,189826000,93744000,73225000,58340000,49006000,39904000,30398000,231067300,26730000,26875000,21941000,22281000,,24114000,,10883000,6756000,8551000,8628000,8374000,7134000,7498000,7186000,5183000,5674000,5042000,4369000,4073000,4767000,3670000,2417000,1976000,2049000,1815000,805000,559000,683000,365000,262000,279000,64000,64300.00305
2011,802635000,196595000,99187000,75866000,60745000,49969000,41304000,31886000,247083000,25811000,28374000,22810000,24932000,,24535000,,11300000,7264000,7983000,8534000,8713000,7630000,7611000,7494000,11567000,5877000,5538000,4907000,4504000,4963000,4192000,2932000,2038000,2236000,1916000,874000,628000,764000,392000,327000,295000,75000,67000
2012,822014400,197522000,98128000,76293000,67390000,47185000,43565000,32221000,259710400,26402000,30411000,25750000,28177000,,25061000,,11680000,7503000,7900000,8566000,8867000,7550000,7937000,7560000,12372000,6130000,5569000,5007000,4979000,4538000,4226000,3514000,1869000,2377000,2007000,950000,765000,810000,439000,351000,292000,89000,62400.00153
2013,883374200,204410000,103231000,76762000,72310000,48345000,43611000,33567000,301138200,26516000,31545000,26332000,30792000,20112000,26025000,12583000,12783000,9177000,7676000,8967000,9192000,8260000,8019000,7684000,10980000,6242000,5822000,5737000,5264000,4778000,2797000,3256000,1905000,2502000,2013000,945000,900000,922000,529000,400000,328000,95599.99847,59599.99847
2014,899193200,206599000,107144000,77694000,73750000,51168000,45984000,35337000,301517200,28070000,32999000,27166000,32421000,24272000,13227000,11556000,13925000,10497000,7797000,9158000,9409000,8813000,8442000,7887000,10522000,5375000,6246000,5804000,5217000,4855000,2731000,3673000,2004000,2675000,2162000,1038000,1102000,1029000,536000,425000,329000,93900.00153,61299.99924
2015,927063100,203302000,109834000,81068000,77743000,55858000,48345000,36792000,314121100,28209000,34970000,29604000,33729000,26114000,13025000,14936000,15007000,11723000,7850000,9305000,9317000,9528000,9331000,8355000,6482000,4386000,6842000,5696000,5048000,5361000,2622000,4131000,1888000,3022000,2383000,1090000,1389000,1132000,678000,486000,331000,94400.00153,56700.00076
2016,963442100,203042000,115561000,84925000,80476000,57587000,52890000,39129000,329832100,28692000,35555000,32519000,24571000,28071000,13734000,17376000,15828000,13359000,8025000,10402000,10604000,10100000,10223000,7481000,6782000,10935000,6797000,5942000,5322000,5960000,2789000,4736000,2000000,3397000,2592000,1054000,1891000,1281000,778000,510000,336000,121000,69099.99847
2017,1007343300,207274000,121717000,89931000,83804000,59238000,54962000,41080000,349337300,30736000,37452000,34701000,24390000,30161000,14579000,15406000,17924000,15432000,8152000,11133000,11596000,10338000,10926000,8385000,7054000,11060000,7726000,6145000,5590000,6252000,3180000,5118000,1937000,3991000,2944000,1046000,2353000,1497000,923000,631000,355000,145000,79300.00305
2018,1034406902,211998000,124456000,93228601.56,85946000,57668000,57667000,40283000,363160300,30801000,38881000,36268000,24551000,33072000,14342000,15299000,18780000,16186000,8328000,11715000,12368000,10926000,11720000,9119000,7440000,11502000,7775000,6033000,6115000,5688000,3224000,5927000,1874000,4425000,3232000,1018000,2488000,1711000,1053000,707000,347000,160000,85300.00305
2019,1048778100,217877000,126170000,95399000,88515000,60021000,61397000,40857000,358542100,33093000,39563000,37202000,24419000,34005000,13710000,,20129000,17283000,8235000,11818000,12552000,10951000,12815000,9343000,7616000,11832000,8342000,6103000,6150000,5879000,3290000,6406000,1904000,4702000,3519000,1041000,2202000,1847000,1198000,758000,363000,174000,98099.99847